No,変位１,強度１,変位 2,強度２
851,85.1,255,85.1,425
852,85.2,255.3,85.2,425.5
853,85.3,255.6,85.3,426
854,85.4,255.9,85.4,426.5
855,85.5,256.2,85.5,427
856,85.6,256.5,85.6,427.5
857,85.7,256.8,85.7,428
858,85.8,257.1,85.8,428.5
859,85.9,257.4,85.9,429
860,86,257.7,86,429.5
861,86.1,258,86.1,430
862,86.2,258.3,86.2,430.5
863,86.3,258.6,86.3,431
864,86.4,258.9,86.4,431.5
865,86.5,259.2,86.5,432
866,86.6,259.5,86.6,432.5
867,86.7,259.8,86.7,433
868,86.8,260.1,86.8,433.5
869,86.9,260.4,86.9,434
870,87,260.7,87,434.5
871,87.1,261,87.1,435
872,87.2,261.3,87.2,435.5
873,87.3,261.6,87.3,436
874,87.4,261.9,87.4,436.5
875,87.5,262.2,87.5,437
876,87.6,262.5,87.6,437.5
877,87.7,262.8,87.7,438
878,87.8,263.1,87.8,438.5
879,87.9,263.4,87.9,439
880,88,263.7,88,439.5
881,88.1,264,88.1,440
882,88.2,264.3,88.2,440.5
883,88.3,264.6,88.3,441
884,88.4,264.9,88.4,441.5
885,88.5,265.2,88.5,442
886,88.6,265.5,88.6,442.5
887,88.7,265.8,88.7,443
888,88.8,266.1,88.8,443.5
889,88.9,266.4,88.9,444
890,89,266.7,89,444.5
891,89.1,267,89.1,445
892,89.2,267.3,89.2,445.5
893,89.3,267.6,89.3,446
894,89.4,267.9,89.4,446.5
895,89.5,268.2,89.5,447
896,89.6,268.5,89.6,447.5
897,89.7,268.8,89.7,448
898,89.8,269.1,89.8,448.5
899,89.9,269.4,89.9,449
900,90,269.7,90,449.5
901,90.1,270,90.1,450
902,90.2,270.3,90.2,450.5
903,90.3,270.6,90.3,451
904,90.4,270.9,90.4,451.5
905,90.5,271.2,90.5,452
906,90.6,271.5,90.6,452.5
907,90.7,271.8,90.7,453
908,90.8,272.1,90.8,453.5
909,90.9,272.4,90.9,454
910,91,272.7,91,454.5
911,91.1,273,91.1,455
912,91.2,273.3,91.2,455.5
913,91.3,273.6,91.3,456
914,91.4,273.9,91.4,456.5
915,91.5,274.2,91.5,457
916,91.6,274.5,91.6,457.5
917,91.7,274.8,91.7,458
918,91.8,275.1,91.8,458.5
919,91.9,275.4,91.9,459
920,92,275.7,92,459.5
921,92.1,276,92.1,460
922,92.2,276.3,92.2,460.5
923,92.3,276.6,92.3,461
924,92.4,276.9,92.4,461.5
925,92.5,277.2,92.5,462
926,92.6,277.5,92.6,462.5
927,92.7,277.8,92.7,463
928,92.8,278.1,92.8,463.5
929,92.9,278.4,92.9,464
930,93,278.7,93,464.5
931,93.1,279,93.1,465
932,93.2,279.3,93.2,465.5
933,93.3,279.6,93.3,466
934,93.4,279.9,93.4,466.5
935,93.5,280.2,93.5,467
936,93.6,280.5,93.6,467.5
937,93.7,280.8,93.7,468
938,93.8,281.1,93.8,468.5
939,93.9,281.4,93.9,469
940,94,281.7,94,469.5
941,94.1,282,94.1,470
942,94.2,282.3,94.2,470.5
943,94.3,282.6,94.3,471
944,94.4,282.9,94.4,471.5
945,94.5,283.2,94.5,472
946,94.6,283.5,94.6,472.5
947,94.7,283.8,94.7,473
948,94.8,284.1,94.8,473.5
949,94.9,284.4,94.9,474
950,95,284.7,95,474.5
951,95.1,285,95.1,475
952,95.2,285.3,95.2,475.5
953,95.3,285.6,95.3,476
954,95.4,285.9,95.4,476.5
955,95.5,286.2,95.5,477
956,95.6,286.5,95.6,477.5
957,95.7,286.8,95.7,478
958,95.8,287.1,95.8,478.5
959,95.9,287.4,95.9,479
960,96,287.7,96,479.5
961,96.1,288,96.1,480
962,96.2,288.3,96.2,480.5
963,96.3,288.6,96.3,481
964,96.4,288.9,96.4,481.5
965,96.5,289.2,96.5,482
966,96.6,289.5,96.6,482.5
967,96.7,289.8,96.7,483
968,96.8,290.1,96.8,483.5
969,96.9,290.4,96.9,484
970,97,290.7,97,484.5
971,97.1,291,97.1,485
972,97.2,291.3,97.2,485.5
973,97.3,291.6,97.3,486
974,97.4,291.9,97.4,486.5
975,97.5,292.2,97.5,487
976,97.6,292.5,97.6,487.5
977,97.7,292.8,97.7,488
978,97.8,293.1,97.8,488.5
979,97.9,293.4,97.9,489
980,98,293.7,98,489.5
981,98.1,294,98.1,490
982,98.2,294.3,98.2,490.5
983,98.3,294.6,98.3,491
984,98.4,294.9,98.4,491.5
985,98.5,295.2,98.5,492
986,98.6,295.5,98.6,492.5
987,98.7,295.8,98.7,493
988,98.8,296.1,98.8,493.5
989,98.9,296.4,98.9,494
990,99,296.7,99,494.5
991,99.1,297,99.1,495
992,99.2,297.3,99.2,495.5
993,99.3,297.6,99.3,496
994,99.4,297.9,99.4,496.5
995,99.5,298.2,99.5,497
996,99.6,298.5,99.6,497.5
997,99.7,298.8,99.7,498
998,99.8,299.1,99.8,498.5
999,99.9,299.4,99.9,499
1000,100,299.7,100,499.5
1001,100.1,300,100.1,500
1002,100.2,300.3,100.2,500.5
1003,100.3,300.6,100.3,501
1004,100.4,300.9,100.4,501.5
1005,100.5,301.2,100.5,502
1006,100.6,301.5,100.6,502.5
1007,100.7,301.8,100.7,503
1008,100.8,302.1,100.8,503.5
1009,100.9,302.4,100.9,504
1010,101,302.7,101,504.5
1011,101.1,303,101.1,505
1012,101.2,303.3,101.2,505.5
1013,101.3,303.6,101.3,506
1014,101.4,303.9,101.4,506.5
